"Nominal Diameter ("")",Equivalent Nominal Diameter (mm),"Sch. 40 S.S. ID ("")","Type L Cu ID ("")",Sch. 40 S.S. ID (mm),Type L Cu ID (mm)
0.50,13,0.622,0.545,15.799,13.843
0.75,19,0.824,0.785,20.93,19.939
1.00,25,1.049,1.025,26.645,26.035
1.25,32,1.38,1.265,35.052,32.131
1.50,38,1.61,1.505,40.894,38.227
2.00,50,2.067,1.985,52.502,50.419
2.50,63,2.469,2.465,62.713,62.611
3.00,75,3.068,2.945,77.927,74.803
3.50,88,3.76,3.425,95.504,86.995
4.00,100,4.026,3.905,102.26,99.187
5.00,125,5.047,4.875,128.194,123.825
6.00,150,6.065,5.845,154.051,148.463
8.00,200,7.981,7.725,202.717,196.215
10.00,250,10.02,9.625,254.508,244.475
12.00,300,12,11.565,304.8,293.751
14.00,350,13.25,14,336.55,355.6
16.00,400,15.25,16,387.35,406.4
18.00,450,17.25,18,438.15,457.2
20.00,500,19.25,20,488.95,508
